Location,Year,Month,DaysAbove35
Norah Head,2015,10,0.0
Norah Head,2015,11,3.0
Norah Head,2015,12,1.0
Norah Head,2016,1,1.0
Norah Head,2016,2,0.0
Norah Head,2016,3,0.0
Norah Head,2016,4,0.0
Norah Head,2016,5,0.0
Norah Head,2016,6,0.0
Norah Head,2016,7,0.0
Norah Head,2016,8,0.0
Norah Head,2016,9,0.0
Norah Head,2016,10,0.0
Norah Head,2016,11,0.0
Norah Head,2016,12,1.0
Norah Head,2017,1,4.0
Norah Head,2017,2,0.0
Norah Head,2017,3,0.0
Norah Head,2017,4,0.0
Norah Head,2017,5,0.0
Norah Head,2017,6,0.0
Norfolk Island,2009,1,0.0
Norfolk Island,2009,2,0.0
Norfolk Island,2009,3,0.0
Norfolk Island,2009,4,0.0
Norfolk Island,2009,5,0.0
Norfolk Island,2009,6,0.0
Norfolk Island,2009,7,0.0
Norfolk Island,2009,8,0.0
Norfolk Island,2009,9,0.0
Norfolk Island,2009,10,0.0
Norfolk Island,2009,11,0.0
Norfolk Island,2009,12,0.0
Norfolk Island,2010,1,0.0
Norfolk Island,2010,2,0.0
Norfolk Island,2010,3,0.0
Norfolk Island,2010,4,0.0
Norfolk Island,2010,5,0.0
Norfolk Island,2010,6,0.0
Norfolk Island,2010,7,0.0
Norfolk Island,2010,8,0.0
Norfolk Island,2010,9,0.0
Norfolk Island,2010,10,0.0
Norfolk Island,2010,11,0.0
Norfolk Island,2010,12,0.0
Norfolk Island,2011,1,0.0
Norfolk Island,2011,2,0.0
Norfolk Island,2011,3,0.0
Norfolk Island,2011,5,0.0
Norfolk Island,2011,6,0.0
Norfolk Island,2011,7,0.0
Norfolk Island,2011,8,0.0
Norfolk Island,2011,9,0.0
Norfolk Island,2011,10,0.0
Norfolk Island,2011,11,0.0
Norfolk Island,2011,12,0.0
Norfolk Island,2012,1,0.0
Norfolk Island,2012,2,0.0
Norfolk Island,2012,3,0.0
Norfolk Island,2012,4,0.0
Norfolk Island,2012,5,0.0
Norfolk Island,2012,6,0.0
Norfolk Island,2012,7,0.0
Norfolk Island,2012,8,0.0
Norfolk Island,2012,9,0.0
Norfolk Island,2012,10,0.0
Norfolk Island,2012,11,0.0
Norfolk Island,2013,1,0.0
Norfolk Island,2013,3,0.0
Norfolk Island,2013,4,0.0
Norfolk Island,2013,5,0.0
Norfolk Island,2013,6,0.0
Norfolk Island,2013,7,0.0
Norfolk Island,2013,8,0.0
Norfolk Island,2013,9,0.0
Norfolk Island,2013,10,0.0
Norfolk Island,2013,11,0.0
Norfolk Island,2013,12,0.0
Norfolk Island,2014,1,0.0
Norfolk Island,2014,2,0.0
Norfolk Island,2014,3,0.0
Norfolk Island,2014,4,0.0
Norfolk Island,2014,5,0.0
Norfolk Island,2014,6,0.0
Norfolk Island,2014,7,0.0
Norfolk Island,2014,8,0.0
Norfolk Island,2014,9,0.0
Norfolk Island,2014,10,0.0
Norfolk Island,2014,11,0.0
Norfolk Island,2014,12,0.0
Norfolk Island,2015,1,0.0
Norfolk Island,2015,2,0.0
Norfolk Island,2015,3,0.0
Norfolk Island,2015,4,0.0
Norfolk Island,2015,5,0.0
Norfolk Island,2015,6,0.0
Norfolk Island,2015,7,0.0
Norfolk Island,2015,8,0.0
Norfolk Island,2015,9,0.0
Norfolk Island,2015,10,0.0
Norfolk Island,2015,11,0.0
Norfolk Island,2015,12,0.0
Norfolk Island,2016,1,0.0
Norfolk Island,2016,2,0.0
Norfolk Island,2016,3,0.0
Norfolk Island,2016,4,0.0
Norfolk Island,2016,5,0.0
Norfolk Island,2016,6,0.0
Norfolk Island,2016,7,0.0
Norfolk Island,2016,8,0.0
Norfolk Island,2016,9,0.0
Norfolk Island,2016,10,0.0
Norfolk Island,2016,11,0.0
Norfolk Island,2016,12,0.0
Norfolk Island,2017,1,0.0
Norfolk Island,2017,2,0.0
Norfolk Island,2017,3,0.0
Norfolk Island,2017,4,0.0
Norfolk Island,2017,5,0.0
Norfolk Island,2017,6,0.0
Penrith,2008,12,1.0
Penrith,2009,1,15.0
Penrith,2009,2,5.0
Penrith,2009,3,0.0
Penrith,2009,4,0.0
Penrith,2009,5,0.0
Penrith,2009,6,0.0
Penrith,2009,7,0.0
Penrith,2009,8,0.0
Penrith,2009,9,0.0
Penrith,2009,10,1.0
Penrith,2009,11,9.0
Penrith,2009,12,7.0
Penrith,2010,1,8.0
Penrith,2010,2,3.0
Penrith,2010,3,1.0
Penrith,2010,4,0.0
Penrith,2010,5,0.0
Penrith,2010,6,0.0
Penrith,2010,7,0.0
Penrith,2010,8,0.0
Penrith,2010,9,0.0
Penrith,2010,10,0.0
Penrith,2010,11,0.0
Penrith,2010,12,1.0
Penrith,2011,1,6.0
Penrith,2011,2,8.0
Penrith,2011,3,0.0
Penrith,2011,5,0.0
Penrith,2011,6,0.0
Penrith,2011,7,0.0
Penrith,2011,8,0.0
Penrith,2011,9,0.0
Penrith,2011,10,0.0
Penrith,2011,11,5.0
Penrith,2011,12,0.0
Penrith,2012,1,2.0
Penrith,2012,2,0.0
Penrith,2012,3,0.0
Penrith,2012,4,0.0
Penrith,2012,5,0.0
Penrith,2012,6,0.0
Penrith,2012,7,0.0
Penrith,2012,8,0.0
Penrith,2012,9,0.0
Penrith,2012,10,1.0
Penrith,2012,11,4.0
Penrith,2013,1,11.0
Penrith,2013,3,0.0
Penrith,2013,4,0.0
Penrith,2013,5,0.0
Penrith,2013,6,0.0
Penrith,2013,7,0.0
Penrith,2013,8,0.0
Penrith,2013,9,0.0
Penrith,2013,10,3.0
Penrith,2013,11,5.0
Penrith,2013,12,4.0
Penrith,2014,1,9.0
Penrith,2014,2,2.0
Penrith,2014,3,0.0
Penrith,2014,4,0.0
Penrith,2014,5,0.0
Penrith,2014,6,0.0
Penrith,2014,7,0.0
Penrith,2014,8,0.0
Penrith,2014,9,0.0
Penrith,2014,10,2.0
Penrith,2014,11,6.0
Penrith,2014,12,2.0
Penrith,2015,1,6.0
Penrith,2015,2,1.0
Penrith,2015,3,1.0
Penrith,2015,4,0.0
Penrith,2015,5,0.0
Penrith,2015,6,0.0
Penrith,2015,7,0.0
Penrith,2015,8,0.0
Penrith,2015,9,0.0
Penrith,2015,10,3.0
Penrith,2015,11,5.0
Penrith,2015,12,7.0
Penrith,2016,1,4.0
Penrith,2016,2,2.0
Penrith,2016,3,2.0
Penrith,2016,4,1.0
Penrith,2016,5,0.0
Penrith,2016,6,0.0
Penrith,2016,7,0.0
Penrith,2016,8,0.0
Penrith,2016,9,0.0
Penrith,2016,10,0.0
Penrith,2016,11,4.0
Penrith,2016,12,9.0
Penrith,2017,1,14.0
Penrith,2017,2,10.0
Penrith,2017,3,0.0
Penrith,2017,4,0.0
Penrith,2017,5,0.0
Penrith,2017,6,0.0
Richmond,2009,1,11.0
Richmond,2009,2,5.0
Richmond,2009,3,0.0
Richmond,2009,4,0.0
Richmond,2009,5,0.0
Richmond,2009,6,0.0
Richmond,2009,7,0.0
Richmond,2009,8,0.0
Richmond,2009,9,0.0
Richmond,2009,10,0.0
Richmond,2009,11,9.0
Richmond,2009,12,7.0
Richmond,2010,1,8.0
Richmond,2010,2,2.0
Richmond,2010,3,1.0
Richmond,2010,4,0.0
Richmond,2010,5,0.0
Richmond,2010,6,0.0
Richmond,2010,7,0.0
Richmond,2010,8,0.0
Richmond,2010,9,0.0
Richmond,2010,10,0.0
Richmond,2010,11,0.0
